Date,Event name,Period
Submitted by INS on 11/03/2025 - 08,Energy resources and consumption in 2024,Year 2024
Submitted by INS on 11/04/2025 - 08,Industrial production prices index (IPPI),September 2025
Submitted by INS on 11/04/2025,New registrations of road vehicles,Third quarter 2025
Submitted by INS on 11/05/2025 - 08,Tourism,September 2025
Submitted by INS on 11/06/2025 - 08,Turnover in retail trade,September 2025
Submitted by INS on 11/10/2025,Vital statistics,September 2025
Submitted by INS on 11/10/2025,Romania's foreign trade (estimated data),September 2025
Submitted by INS on 11/11/2025,Slaughtering of animals and poultry and meat production,September 2025
Submitted by INS on 11/12/2025,Consumer price index (CPI),October 2025
Submitted by INS on 11/12/2025,Monthly average earning,septembrie 2025
Submitted by INS on 11/13/2025,Industrial production indices (IPI),September 2025
Submitted by INS on 11/14/2025,GDP evolution in the Third quarter 2025 (estimated data) (flash),Third quarter 2025
Submitted by INS on 11/14/2025,Energy resources (provisional data),"January 1 - September 30, 2025"
Submitted by INS on 11/17/2025,Research-development activity in 2024,Year 2024
Submitted by INS on 11/19/2025,Job vacancies,Third quarter 2025
Submitted by INS on 11/20/2025 - 08,Value indices of industrial new orders,September 2025
Submitted by INS on 11/20/2025,Turnover index in industry,September 2025
Submitted by INS on 11/20/2025,Construction works,September 2025
Submitted by INS on 11/22/2025,"Environmental goods and serices sector, in 2023",Year 2023
Submitted by INS on 11/24/2025,"Activity of enterprises in industry, construction, commerce and market services in 2024 - provisional data",Year 2024
Submitted by INS on 11/25/2025 - 08,The turnover of the trade with motor vehicles and motorcycles,September 2025
Submitted by INS on 11/25/2025,Turnover in trade and services provided to the population,September 2025
Submitted by INS on 11/26/2025 - 08,Turnover of market services rendered mainly to enterprises,September 2025
Submitted by INS on 11/26/2025,Wholesale turnover,September 2025
Submitted by INS on 11/28/2025 - 08,Wages in October 2024,October 2024
Submitted by INS on 11/28/2025,Trends in the evolution of economic activity,November 2025 - Janary 2026
Submitted by INS on 11/28/2025,Construction permits released for buildings,October 2025
